,,Well,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
TQNGfree,1020,558,5815,6088,7245,6697,6079,6862,6575,6533,6651,6605,6073,6796,7724,6429,6336,6452,6523,6360
TQNGfree,1020,559,5671,5913,6978,6526,5941,6670,6384,6355,6459,6373,5859,6579,7455,6209,6138,6243,6296,6137
TQNGfree,1020,560,5377,5627,6690,6200,5623,6325,6096,6008,6125,6112,5615,6265,7120,5953,5880,5952,6000,5845
TQNGfree,1020,561,5157,5385,6393,5963,5401,6056,5865,5774,5886,5812,5377,6010,6805,5704,5639,5711,5765,5636
TQNGfree,1020,562,4987,5206,6212,5764,5211,5863,5673,5589,5682,5631,5197,5809,6587,5497,5404,5518,5566,5452
TQNGfree,1020,563,4780,4993,5921,5488,4996,5595,5409,5334,5419,5389,4955,5556,6268,5240,5193,5254,5330,5206
TQNGfree,1020,564,4648,4850,5744,5337,4858,5415,5269,5191,5250,5245,4816,5393,6138,5088,5017,5119,5153,5040
TQNGfree,1020,565,4414,4634,5523,5115,4648,5196,5020,4957,5049,5025,4596,5154,5852,4893,4828,4884,4976,4828
TQNGfree,1020,566,4271,4425,5274,4908,4449,5009,4849,4757,4868,4845,4427,4974,5614,4709,4635,4686,4731,4632
TQNGfree,1020,567,4120,4294,5085,4741,4290,4831,4680,4595,4668,4627,4234,4806,5395,4511,4484,4540,4567,4464
TQNGfree,1020,568,3983,4146,4921,4574,4153,4680,4473,4445,4506,4496,4115,4638,5234,4379,4318,4381,4442,4326
TQNGfree,1020,569,3783,3917,4684,4347,3937,4415,4286,4231,4297,4250,3897,4394,4984,4172,4106,4173,4176,4094
TQNGfree,1020,570,3698,3854,4578,4253,3877,4359,4175,4136,4191,4155,3810,4274,4869,4050,4017,4059,4104,3996
TQNGfree,1020,571,3512,3661,4344,4047,3662,4117,3961,3926,3991,3961,3622,4087,4624,3877,3813,3856,3909,3816
TQNGfree,1020,572,3402,3545,4198,3907,3565,4018,3852,3806,3873,3837,3549,3960,4477,3723,3705,3737,3779,3704
TQNGfree,1020,573,3315,3425,4078,3791,3466,3863,3740,3691,3722,3713,3442,3855,4338,3644,3542,3616,3685,3566
